perinatal_dx_code,perinatal_dx_catagory,perinatal_dx_descrip,perinatal_icd_code
671.53,,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, antepartum condition or complication",ICD9
668.21,,"Central nervous system complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition",ICD9
675.2,,"Nonpurulent mastitis associated with childbirth, unspecified as to episode of care or not applicable",ICD9
655.11,,"Chromosomal abnormality in fetus, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
651.33,,"Twin pregnancy with fetal loss and retention of one fetus, antepartum condition or complication",ICD9
651.31,,"Twin pregnancy with fetal loss and retention of one fetus, delivered, with or without mention of antepartum condition",ICD9
651.63,,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), antepartum condition or complication",ICD9
633.2,,Ovarian pregnancy without intrauterine pregnancy,ICD9
669.21,,"Maternal hypotension syndrome, delivered, with or without mention of antepartum condition",ICD9
634.1,,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, unspecified",ICD9
653.41,,"Fetopelvic disproportion, delivered, with or without mention of antepartum condition",ICD9
647.1,,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
660.23,,"Obstruction by abnormal pelvic soft tissues during labor, antepartum condition or complication",ICD9
669.83,,"Other complications of labor and delivery, antepartum condition or complication",ICD9
652.9,,"Unspecified malposition or malpresentation, unspecified as to episode of care or not applicable",ICD9
655.1,,"Chromosomal abnormality in fetus, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
661.03,,"Primary uterine inertia, antepartum condition or complication",ICD9
669.24,,"Maternal hypotension syndrome, postpartum condition or complication",ICD9
642.61,,"Eclampsia, delivered, with or without mention of antepartum condition",ICD9
665.01,,"Rupture of uterus before onset of labor, delivered, with or without mention of antepartum condition",ICD9
676.24,,"Engorgement of breasts associated with childbirth, postpartum condition or complication",ICD9
642.32,,"Transient hypertension of pregnancy, delivered, with mention of postpartum complication",ICD9
634.8,,"Spontaneous abortion, with unspecified complication, unspecified",ICD9
634.61,,"Spontaneous abortion, complicated by embolism, incomplete",ICD9
639.1,,Delayed or excessive hemorrhage following abortion or ectopic and molar pregnancies,ICD9
637,,"Unspecified abortion, complicated by genital tract and pelvic infection, unspecified",ICD9
653.1,,"Generally contracted pelvis, unspecified as to episode of care or not applicable",ICD9
654.42,,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with mention of postpartum complication",ICD9
665.72,,"Pelvic hematoma, delivered with mention of postpartum complication",ICD9
673.22,,"Obstetrical blood-clot embolism, delivered, with mention of postpartum complication",ICD9
666.22,,"Delayed and secondary postpartum hemorrhage, delivered, with mention of postpartum complication",ICD9
651.83,,"Other specified multiple gestation, antepartum condition or complication",ICD9
672.02,,"Pyrexia of unknown origin during the puerperium, delivered, with mention of postpartum complication",ICD9
649.42,,"Epilepsy complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9
642.63,,"Eclampsia, antepartum condition or complication",ICD9
630,,Hydatidiform mole,ICD9
660.4,,"Shoulder (girdle) dystocia, unspecified as to episode of care or not applicable",ICD9
648.32,,"Drug dependence of mother, delivered, with mention of postpartum complication",ICD9
669.41,,"Other complications of obstetrical surgery and procedures, delivered, with or without mention of antepartum condition",ICD9
673.21,,"Obstetrical blood-clot embolism, delivered, with or without mention of antepartum condition",ICD9
674.9,,"Unspecified complications of puerperium, unspecified as to episode of care or not applicable",ICD9
662.21,,"Prolonged second stage of labor, delivered, with or without mention of antepartum condition",ICD9
643.91,,"Unspecified vomiting of pregnancy, delivered, with or without mention of antepartum condition",ICD9
670.82,,"Other major puerperal infection, delivered, with mention of postpartum complication",ICD9
671.23,,"Superficial thrombophlebitis complicating pregnancy and the puerperium, antepartum condition or complication",ICD9
763.83,,"Abnormality in fetal heart rate or rhythm, unspecified as to time of onset",ICD9
651.61,,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",ICD9
671.11,,"Varicose veins of vulva and perineum complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition",ICD9
660.9,,"Unspecified obstructed labor, unspecified as to episode of care or not applicable",ICD9
648.62,,"Other cardiovascular diseases of mother, delivered, with mention of postpartum complication",ICD9
666.2,,"Delayed and secondary postpartum hemorrhage, unspecified as to episode of care or not applicable",ICD9
674.52,,"Peripartum cardiomyopathy, delivered, with mention of postpartum condition",ICD9
676.94,,"Unspecified disorder of lactation, postpartum condition or complication",ICD9
669.5,,"Forceps or vacuum extractor delivery without mention of indication, unspecified as to episode of care or not applicable",ICD9
634.01,,"Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete",ICD9
634.71,,"Spontaneous abortion, with other specified complications, incomplete",ICD9
634.02,,"Spontaneous abortion, complicated by genital tract and pelvic infection, complete",ICD9
634.51,,"Spontaneous abortion, complicated by shock, incomplete",ICD9
637.81,,"Unspecified abortion, with unspecified complication, incomplete",ICD9
664.1,,"Second-degree perineal laceration, unspecified as to episode of care or not applicable",ICD9
670.22,,"Puerperal sepsis, delivered, with mention of postpartum complication",ICD9
642.92,,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9
640.91,,"Unspecified hemorrhage in early pregnancy, delivered, with or without mention of antepartum condition",ICD9
675.13,,"Abscess of breast associated with childbirth, antepartum condition or complication",ICD9
675.24,,"Nonpurulent mastitis associated with childbirth, postpartum condition or complication",ICD9
675.22,,"Nonpurulent mastitis associated with childbirth, delivered, with mention of postpartum complication",ICD9
647.94,,"Unspecified infection or infestation of mother, postpartum condition or complication",ICD9
672.04,,"Pyrexia of unknown origin during the puerperium, postpartum condition or complication",ICD9
655.01,,"Central nervous system malformation in fetus, delivered, with or without mention of antepartum condition",ICD9
659.01,,"Failed mechanical induction of labor, delivered, with or without mention of antepartum condition",ICD9
635.72,,"Legally induced abortion, with other specified complications, complete",ICD9
655.9,,"Unspecified suspected fetal abnormality, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
643.1,,"Hyperemesis gravidarum with metabolic disturbance, unspecified as to episode of care or not applicable",ICD9
672,,"Pyrexia of unknown origin during the puerperium, unspecified as to episode of care or not applicable",ICD9
668.82,,"Other complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",ICD9
670.02,,"Major puerperal infection, delivered, with mention of postpartum complication",ICD9
663.83,,"Other umbilical cord complications complicating labor and delivery, antepartum condition or complication",ICD9
655.21,,"Hereditary disease in family possibly affecting fetus, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
674.3,,"Other complications of obstetrical surgical wounds, unspecified as to episode of care or not applicable",ICD9
641.3,,"Antepartum hemorrhage associated with coagulation defects, unspecified as to episode of care or not applicable",ICD9
676.04,,"Retracted nipple associated with childbirth, postpartum condition or complication",ICD9
654.71,,"Congenital or acquired abnormality of vagina, delivered, with or without mention of antepartum condition",ICD9
675.23,,"Nonpurulent mastitis associated with childbirth, antepartum condition or complication",ICD9
656.4,,"Intrauterine death, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
634.11,,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, incomplete",ICD9
652.51,,"High head at term, delivered, with or without mention of antepartum condition",ICD9
654.33,,"Retroverted and incarcerated gravid uterus, antepartum condition or complication",ICD9
669.82,,"Other complications of labor and delivery, delivered, with mention of postpartum complication",ICD9
674.22,,"Disruption of perineal wound, delivered, with mention of postpartum complication",ICD9
653.73,,"Other fetal abnormality causing disproportion, antepartum condition or complication",ICD9
664.91,,"Unspecified trauma to perineum and vulva, delivered, with or without mention of antepartum condition",ICD9
655,,"Central nervous system malformation in fetus, unspecified as to episode of care or not applicable",ICD9
671.02,,"Varicose veins of legs complicating pregnancy and the puerperium, delivered, with mention of postpartum complication",ICD9
670.84,,"Other major puerperal infection, postpartum condition or complication",ICD9
641,,"Placenta previa without hemorrhage, unspecified as to episode of care or not applicable",ICD9
674.24,,"Disruption of perineal wound, postpartum condition or complication",ICD9
642.24,,"Other pre-existing hypertension,complicating pregnancy, childbirth, and the puerperium, , postpartum condition or complication",ICD9
760.71,,Alcohol affecting fetus or newborn via placenta or breast milk,ICD9
642.62,,"Eclampsia, delivered, with mention of postpartum complication",ICD9
668.01,,"Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with or without mention of antepartum condition",ICD9
664.51,,"Vulvar and perineal hematoma, delivered, with or without mention of antepartum condition",ICD9
640.8,,"Other specified hemorrhage in early pregnancy, unspecified as to episode of care or not applicable",ICD9
658.3,,"Delayed delivery after artificial rupture of membranes, unspecified as to episode of care or not applicable",ICD9
674.03,,"Cerebrovascular disorders in the puerperium, antepartum condition or complication",ICD9
674.01,,"Cerebrovascular disorders in the puerperium, delivered, with or without mention of antepartum condition",ICD9
659.13,,"Failed medical or unspecified induction of labor, antepartum condition or complication",ICD9
669.22,,"Maternal hypotension syndrome, delivered, with mention of postpartum complication",ICD9
646.01,,"Papyraceous fetus, delivered, with or without mention of antepartum condition",ICD9
675.14,,"Abscess of breast associated with childbirth, postpartum condition or complication",ICD9
664.14,,"Second-degree perineal laceration, postpartum condition or complication",ICD9
642.54,,"Severe pre-eclampsia, postpartum condition or complication",ICD9
667.14,,"Retained portions of placenta or membranes, without hemorrhage, postpartum condition or complication",ICD9
665.64,,"Damage to pelvic joints and ligaments, postpartum condition or complication",ICD9
635.91,,"Legally induced abortion, without mention of complication, incomplete",ICD9
669.23,,"Maternal hypotension syndrome, antepartum condition or complication",ICD9
659.31,,"Generalized infection during labor, delivered, with or without mention of antepartum condition",ICD9
656.93,,"Unspecified fetal and placental problem, affecting management of mother, antepartum condition or complication",ICD9
674.04,,"Cerebrovascular disorders in the puerperium, postpartum condition or complication",ICD9
671.2,,"Superficial thrombophlebitis complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",ICD9
649.02,,"Tobacco use disorder complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9
660.11,,"Obstruction by bony pelvis during labor, delivered, with or without mention of antepartum condition",ICD9
647.62,,"Other viral diseases in the mother, delivered, with mention of postpartum complication",ICD9
651.1,,"Triplet pregnancy, unspecified as to episode of care or not applicable",ICD9
651.11,,"Triplet pregnancy, delivered, with or without mention of antepartum condition",ICD9
671.13,,"Varicose veins of vulva and perineum complicating pregnancy and the puerperium, antepartum condition or complication",ICD9
670.04,,"Major puerperal infection, postpartum condition or complication",ICD9
664.84,,"Other specified trauma to perineum and vulva, postpartum condition or complication",ICD9
674.8,,"Other complications of puerperium, unspecified as to episode of care or not applicable",ICD9
654.54,,"Cervical incompetence, postpartum condition or complication",ICD9
661.93,,"Unspecified abnormality of labor, antepartum condition or complication",ICD9
676.91,,"Unspecified disorder of lactation, delivered, with or without mention of antepartum condition",ICD9
665.1,,"Rupture of uterus during labor, unspecified as to episode of care or not applicable",ICD9
648.74,,"Bone and joint disorders of back, pelvis, and lower limbs of mother, postpartum condition or complication",ICD9
654.14,,"Tumors of body of uterus, postpartum condition or complication",ICD9
665.93,,"Unspecified obstetrical trauma, antepartum condition or complication",ICD9
652.93,,"Unspecified malposition or malpresentation, antepartum condition or complication",ICD9
634.72,,"Spontaneous abortion, with other specified complications, complete",ICD9
661.2,,"Other and unspecified uterine inertia, unspecified as to episode of care or not applicable",ICD9
671.24,,"Superficial thrombophlebitis complicating pregnancy and the puerperium, postpartum condition or complication",ICD9
642.02,,"Benign essential hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication",ICD9
633.11,,Tubal pregnancy with intrauterine pregnancy,ICD9
639.8,,Other specified complications following abortion or ectopic and molar pregnancy,ICD9
647.12,,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9
660.63,,"Unspecified failed trial of labor, antepartum condition or complication",ICD9
760.3,,Other chronic maternal circulatory and respiratory diseases affecting fetus or newborn,ICD9
646.24,,"Unspecified renal disease in pregnancy, without mention of hypertension, postpartum condition or complication",ICD9
648.72,,"Bone and joint disorders of back, pelvis, and lower limbs of mother, delivered, with mention of postpartum complication",ICD9
676.14,,"Cracked nipple associated with childbirth, postpartum condition or complication",ICD9
655.63,,"Suspected damage to fetus from radiation, affecting management of mother, antepartum condition or complication",ICD9
663.41,,"Short cord complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
665.91,,"Unspecified obstetrical trauma, delivered, with or without mention of antepartum condition",ICD9
648.5,,"Congenital cardiovascular disorders of mother, unspecified as to episode of care or not applicable",ICD9
634.52,,"Spontaneous abortion, complicated by shock, complete",ICD9
667,,"Retained placenta without hemorrhage, unspecified as to episode of care or not applicable",ICD9
654.31,,"Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition",ICD9
651.23,,"Quadruplet pregnancy, antepartum condition or complication",ICD9
673.23,,"Obstetrical blood-clot embolism, antepartum condition or complication",ICD9
662.2,,"Prolonged second stage of labor, unspecified as to episode of care or not applicable",ICD9
659.1,,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable",ICD9
664.24,,"Third-degree perineal laceration, postpartum condition or complication",ICD9
674.51,,"Peripartum cardiomyopathy, delivered, with or without mention of antepartum condition",ICD9
665.5,,"Other injury to pelvic organs, unspecified as to episode of care or not applicable",ICD9
660.6,,"Unspecified failed trial of labor, unspecified as to episode of care or not applicable",ICD9
652.83,,"Other specified malposition or malpresentation, antepartum condition or complication",ICD9
665.71,,"Pelvic hematoma, delivered, with or without mention of antepartum condition",ICD9
661.41,,"Hypertonic, incoordinate, or prolonged uterine contractions, delivered, with or without mention of antepartum condition",ICD9
665.11,,"Rupture of uterus during labor, delivered, with or without mention of antepartum condition",ICD9
674.2,,"Disruption of perineal wound, unspecified as to episode of care or not applicable",ICD9
652.6,,"Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable",ICD9
668.04,,"Pulmonary complications of anesthesia or other sedation in labor and delivery, postpartum condition or complication",ICD9
660.21,,"Obstruction by abnormal pelvic soft tissues during labor, delivered, with or without mention of antepartum condition",ICD9
674,,"Cerebrovascular disorders in the puerperium, unspecified as to episode of care or not applicable",ICD9
664.61,,"Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, delivered, with or without mention of antepartum condition",ICD9
661.43,,"Hypertonic, incoordinate, or prolonged uterine contractions, antepartum condition or complication",ICD9
653.01,,"Major abnormality of bony pelvis, not further specified, delivered, with or without mention of antepartum condition",ICD9
656.03,,"Fetal-maternal hemorrhage, antepartum condition or complication",ICD9
658.31,,"Delayed delivery after artificial rupture of membranes, delivered, with or without mention of antepartum condition",ICD9
659.03,,"Failed mechanical induction of labor, antepartum condition or complication",ICD9
663.1,,"Cord around neck with compression, complicating labor and delivery, unspecified as to episode of care or not applicable",ICD9
673.24,,"Obstetrical blood-clot embolism, postpartum condition or complication",ICD9
663.2,,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, unspecified as to episode of care or not applicable",ICD9
658.8,,"Other problems associated with amniotic cavity and membranes, unspecified as to episode of care or not applicable",ICD9
641.8,,"Other antepartum hemorrhage, unspecified as to episode of care or not applicable",ICD9
667.04,,"Retained placenta without hemorrhage, postpartum condition or complication",ICD9
665.03,,"Rupture of uterus before onset of labor, antepartum condition or complication",ICD9
653.13,,"Generally contracted pelvis, antepartum condition or complication",ICD9
651.13,,"Triplet pregnancy, antepartum condition or complication",ICD9
669.9,,"Unspecified complication of labor and delivery, unspecified as to episode of care or not applicable",ICD9
634.12,,"Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete",ICD9
647.34,,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication",ICD9
653.71,,"Other fetal abnormality causing disproportion, delivered, with or without mention of antepartum condition",ICD9
654.4,,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, unspecified as to episode of care or not applicable",ICD9
647.82,,"Other specified infectious and parasitic diseases of mother, delivered, with mention of postpartum complication",ICD9
663.51,,"Vasa previa complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
663.5,,"Vasa previa complicating labor and delivery, unspecified as to episode of care or not applicable",ICD9
663.53,,"Vasa previa complicating labor and delivery, antepartum condition or complication",ICD9
660.71,,"Failed forceps or vacuum extractor, unspecified, delivered, with or without mention of antepartum condition",ICD9
634.81,,"Spontaneous abortion, with unspecified complication, incomplete",ICD9
662.01,,"Prolonged first stage of labor, delivered, with or without mention of antepartum condition",ICD9
671.42,,"Deep phlebothrombosis, postpartum, delivered, with mention of postpartum complication",ICD9
659.21,,"Maternal pyrexia during labor, unspecified, delivered, with or without mention of antepartum condition",ICD9
667.1,,"Retained portions of placenta or membranes, without hemorrhage, unspecified as to episode of care or not applicable",ICD9
658.91,,"Unspecified problem associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",ICD9
660.43,,"Shoulder (girdle) dystocia, antepartum condition or complication",ICD9
648.12,,"Thyroid dysfunction of mother, delivered, with mention of postpartum complication",ICD9
635.81,,"Legally induced abortion, with unspecified complication, incomplete",ICD9
655.31,,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
666.34,,"Postpartum coagulation defects, postpartum condition or complication",ICD9
658.93,,"Unspecified problem associated with amniotic cavity and membranes, antepartum condition or complication",ICD9
637.82,,"Unspecified abortion, with unspecified complication, complete",ICD9
649.82,,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section, delivered, with mention of postpartum complication",ICD9
649.34,,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",ICD9
670.2,,"Puerperal sepsis, unspecified as to episode of care or not applicable",ICD9
658.83,,"Other problems associated with amniotic cavity and membranes, antepartum",ICD9
669.8,,"Other complications of labor and delivery, unspecified as to episode of care or not applicable",ICD9
661.23,,"Other and unspecified uterine inertia, antepartum condition or complication",ICD9
671.21,,"Superficial thrombophlebitis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition",ICD9
669.2,,"Maternal hypotension syndrome, unspecified as to episode of care or not applicable",ICD9
647.41,,"Malaria in the mother, delivered, with or without mention of antepartum condition",ICD9
659.8,,"Other specified indications for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable",ICD9
647.3,,"Tuberculosis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
645.2,,"Prolonged pregnancy, unspecified as to episode of care or not applicable",ICD9
637.11,,"Unspecified abortion, complicated by delayed or excessive hemorrhage, incomplete",ICD9
663.33,,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, antepartum condition or complication",ICD9
649.44,,"Epilepsy complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",ICD9
676.51,,"Suppressed lactation, delivered, with or without mention of antepartum condition",ICD9
661,,"Primary uterine inertia, unspecified as to episode of care or not applicable",ICD9
664.2,,"Third-degree perineal laceration, unspecified as to episode of care or not applicable",ICD9
654.04,,"Congenital abnormalities of uterus, postpartum condition or complication",ICD9
671.44,,"Deep phlebothrombosis, postpartum, postpartum condition or complication",ICD9
665.74,,"Pelvic hematoma, postpartum condition or complication",ICD9
676.93,,"Unspecified disorder of lactation, antepartum condition or complication",ICD9
659.83,,"Other specified indications for care or intervention related to labor and delivery, antepartum condition or complication",ICD9
669.01,,"Maternal distress complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
654.3,,"Retroverted and incarcerated gravid uterus, unspecified as to episode of care or not applicable",ICD9
664.44,,"Unspecified perineal laceration, postpartum condition or complication",ICD9
640.81,,"Other specified hemorrhage in early pregnancy, delivered, with or without mention of antepartum condition",ICD9
634,,"Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified",ICD9
663,,"Prolapse of cord complicating labor and delivery, unspecified as to episode of care or not applicable",ICD9
661.91,,"Unspecified abnormality of labor, delivered, with or without mention of antepartum condition",ICD9
675.04,,"Infections of nipple associated with childbirth, postpartum condition or complication",ICD9
676.81,,"Other disorders of lactation, delivered, with or without mention of antepartum condition",ICD9
653.11,,"Generally contracted pelvis, delivered, with or without mention of antepartum condition",ICD9
633.8,,Other ectopic pregnancy without intrauterine pregnancy,ICD9
643.11,,"Hyperemesis gravidarum with metabolic disturbance, delivered, with or without mention of antepartum condition",ICD9
663.03,,"Prolapse of cord complicating labor and delivery, antepartum condition or complication",ICD9
676.2,,"Engorgement of breasts associated with childbirth, unspecified as to episode of care or not applicable",ICD9
661.4,,"Hypertonic, incoordinate, or prolonged uterine contractions, unspecified as to episode of care or not applicable",ICD9
676.31,,"Other and unspecified disorder of breast associated with childbirth, delivered, with or without mention of antepartum condition",ICD9
668.02,,"Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",ICD9
656.91,,"Unspecified fetal and placental problem, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
673.12,,"Amniotic fluid embolism, delivered, with mention of postpartum complication",ICD9
671,,"Varicose veins of legs complicating pregnancy and the puerperium, unspecified as to episode of care or not applicable",ICD9
653.53,,"Unusually large fetus causing disproportion, antepartum condition or complication",ICD9
662,,"Prolonged first stage of labor, unspecified as to episode of care or not applicable",ICD9
652.03,,"Unstable lie, antepartum condition or complication",ICD9
647.53,,"Rubella in the mother, antepartum condition or complication",ICD9
665.22,,"Inversion of uterus, delivered, with mention of postpartum complication",ICD9
659.91,,"Unspecified indication for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition",ICD9
664,,"First-degree perineal laceration, unspecified as to episode of care or not applicable",ICD9
639.9,,Unspecified complication following abortion or ectopic and molar pregnancy,ICD9
635.01,,"Legally induced abortion, complicated by genital tract and pelvic infection, incomplete",ICD9
639,,Genital tract and pelvic infection following abortion or ectopic and molar pregnancies,ICD9
654.83,,"Congenital or acquired abnormality of vulva, antepartum condition or complication",ICD9
669.1,,"Shock during or following labor and delivery, unspecified as to episode of care or not applicable",ICD9
659.3,,"Generalized infection during labor, unspecified as to episode of care or not applicable",ICD9
648.7,,"Bone and joint disorders of back, pelvis, and lower limbs of mother, unspecified as to episode of care or not applicable",ICD9
635.02,,"Legally induced abortion, complicated by genital tract and pelvic infection, complete",ICD9
654.8,,"Congenital or acquired abnormality of vulva, unspecified as to episode of care or not applicable",ICD9
641.33,,"Antepartum hemorrhage associated with coagulation defects, antepartum condition or complication",ICD9
664.04,,"First-degree perineal laceration, postpartum condition or complication",ICD9
673.84,,"Other obstetrical pulmonary embolism, postpartum condition or complication",ICD9
673.04,,"Obstetrical air embolism, postpartum condition or complication",ICD9
647.24,,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium,postpartum condition or complication",ICD9
673.02,,"Obstetrical air embolism, delivered, with mention of postpartum complication",ICD9
639.5,,Shock following abortion or ectopic and molar pregnancies,ICD9
633.91,,Unspecified ectopic pregnancy with intrauterine pregnancy,ICD9
654.52,,"Cervical incompetence, delivered, with mention of postpartum complication",ICD9
661.33,,"Precipitate labor, antepartum condition or complication",ICD9
637.8,,"Unspecified abortion, with unspecified complication, unspecified",ICD9
676.22,,"Engorgement of breasts associated with childbirth, delivered, with mention of postpartum complication",ICD9
659.23,,"Maternal pyrexia during labor, unspecified, antepartum condition or complication",ICD9
668.03,,"Pulmonary complications of anesthesia or other sedation in labor and delivery, antepartum condition or complication",ICD9
651.21,,"Quadruplet pregnancy, delivered, with or without mention of antepartum condition",ICD9
643.81,,"Other vomiting complicating pregnancy, delivered, with or without mention of antepartum condition",ICD9
638.2,,Failed attempted abortion complicated by damage to pelvic organs or tissues,ICD9
646.22,,"Unspecified renal disease in pregnancy, without mention of hypertension, delivered, with mention of postpartum complication",ICD9
676.3,,"Other and unspecified disorder of breast associated with childbirth, unspecified as to episode of care or not applicable",ICD9
637.1,,"Unspecified abortion, complicated by delayed or excessive hemorrhage, unspecified",ICD9
646,,"Papyraceous fetus, unspecified as to episode of care or not applicable",ICD9
671.51,,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with or without mention of antepartum condition",ICD9
642.6,,"Eclampsia, unspecified as to episode of care or not applicable",ICD9
675.83,,"Other specified infections of the breast and nipple associated with childbirth, antepartum condition or complication",ICD9
647.22,,"Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9
654.64,,"Other congenital or acquired abnormality of cervix, postpartum condition or complication",ICD9
665.7,,"Pelvic hematoma, unspecified as to episode of care or not applicable",ICD9
652.8,,"Other specified malposition or malpresentation, unspecified as to episode of care or not applicable",ICD9
664.64,,"Anal sphincter tear complicating delivery, not associated with third-degree perineal laceration, postpartum condition or complication",ICD9
671.52,,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, delivered, with mention of postpartum complication",ICD9
665.44,,"High vaginal laceration, postpartum condition or complication",ICD9
665.6,,"Damage to pelvic joints and ligaments, unspecified as to episode of care or not applicable",ICD9
652.13,,"Breech or other malpresentation successfully converted to cephalic presentation, antepartum condition or complication",ICD9
656.9,,"Unspecified fetal and placental problem, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
665.83,,"Other specified obstetrical trauma, antepartum condition or complication",ICD9
763.4,,Cesarean delivery affecting fetus or newborn,ICD9
671.04,,"Varicose veins of legs complicating pregnancy and the puerperium, postpartum condition or complication",ICD9
638.8,,Failed attempted abortion with unspecified complication,ICD9
651.8,,"Other specified multiple gestation, unspecified as to episode of care or not applicable",ICD9
634.7,,"Spontaneous abortion, with other specified complications, unspecified",ICD9
669.61,,"Breech extraction, without mention of indication, delivered, with or without mention of antepartum condition",ICD9
654.44,,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, postpartum condition or complication",ICD9
653.43,,"Fetopelvic disproportion, antepartum condition or complication",ICD9
676.64,,"Galactorrhea associated with childbirth, postpartum condition or complication",ICD9
670.32,,"Puerperal septic thrombophlebitis, delivered, with mention of postpartum complication",ICD9
651.81,,"Other specified multiple gestation, delivered, with or without mention of antepartum condition",ICD9
648.6,,"Other cardiovascular diseases of mother, unspecified as to episode of care or not applicable",ICD9
669.3,,"Acute kidney failure following labor and delivery, unspecified as to episode of care or not applicable",ICD9
676.23,,"Engorgement of breasts associated with childbirth, antepartum condition or complication",ICD9
676.11,,"Cracked nipple associated with childbirth, delivered, with or without mention of antepartum condition",ICD9
669.44,,"Other complications of obstetrical surgery and procedures, postpartum condition or complication",ICD9
676.6,,"Galactorrhea associated with childbirth, unspecified as to episode of care or not applicable",ICD9
663.23,,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, antepartum condition or complication",ICD9
655.41,,"Suspected damage to fetus from other disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
675.21,,"Nonpurulent mastitis associated with childbirth, delivered, with or without mention of antepartum condition",ICD9
673.81,,"Other obstetrical pulmonary embolism, delivered, with or without mention of antepartum condition",ICD9
633.81,,Other ectopic pregnancy with intrauterine pregnancy,ICD9
656,,"Fetal-maternal hemorrhage, unspecified as to episode of care or not applicable",ICD9
665.84,,"Other specified obstetrical trauma, postpartum condition or complication",ICD9
660.1,,"Obstruction by bony pelvis during labor, unspecified as to episode of care or not applicable",ICD9
673.33,,"Obstetrical pyemic and septic embolism, antepartum condition or complication",ICD9
668.22,,"Central nervous system complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",ICD9
651.91,,"Unspecified multiple gestation, delivered, with or without mention of antepartum condition",ICD9
647.92,,"Unspecified infection or infestation of mother, delivered, with mention of postpartum complication",ICD9
647.04,,"Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",ICD9
652.3,,"Transverse or oblique presentation, unspecified as to episode of care or not applicable",ICD9
671.54,,"Other phlebitis and thrombosis complicating pregnancy and the puerperium, postpartum condition or complication",ICD9
